State,Location,Date Posted,Date Collected,Sample Type,Unit,Ba-140,Co-60,Cs-134,Cs-136,Cs-137,I-131,I-132,I-133,Te-129,Te-129m,Te-132
NV,Las Vegas,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
AR,Little Rock,04/09/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,8.9,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
AR,Little Rock,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,Los Angeles,04/06/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,2.9,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,Los Angeles,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,4,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
KY,Louisville,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
KY,Louisville ,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TN,Memphis,04/16/2011,04/11/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,4,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
VT,Montpelier,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,1.9,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,Oakland ,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,2.5,Non-detect,Non-detect,3.7,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
